rho_14_0,rho_14_3,rho_14_7,rho_14_14,image_name,cosine_sim,sal_diff_norm,SmoothHR_Score_0.4,SmoothLR_Score_0.4,SmoothHR_Score_0.5,SmoothLR_Score_0.5,SmoothHR_Score_0.55,SmoothLR_Score_0.55,SmoothHR_Score_0.6,SmoothLR_Score_0.6,SmoothHR_Score_0.65,SmoothLR_Score_0.65,SmoothHR_Score_0.7,SmoothLR_Score_0.7,SmoothHR_Score_0.75,SmoothLR_Score_0.75,SmoothSqHR_Score_0.4,SmoothSqLR_Score_0.4,SmoothSqHR_Score_0.5,SmoothSqLR_Score_0.5,SmoothSqHR_Score_0.55,SmoothSqLR_Score_0.55,SmoothSqHR_Score_0.6,SmoothSqLR_Score_0.6,SmoothSqHR_Score_0.65,SmoothSqLR_Score_0.65,SmoothSqHR_Score_0.7,SmoothSqLR_Score_0.7,SmoothSqHR_Score_0.75,SmoothSqLR_Score_0.75,HR_Score_0.4_grad,LR_Score_0.4_grad,HR_Score_0.5_grad,LR_Score_0.5_grad,HR_Score_0.55_grad,LR_Score_0.55_grad,HR_Score_0.6_grad,LR_Score_0.6_grad,HR_Score_0.65_grad,LR_Score_0.65_grad,HR_Score_0.7_grad,LR_Score_0.7_grad,HR_Score_0.75_grad,LR_Score_0.75_grad,HR_Score_0.4_norm,LR_Score_0.4_norm,HR_Score_0.5_norm,LR_Score_0.5_norm,HR_Score_0.55_norm,LR_Score_0.55_norm,HR_Score_0.6_norm,LR_Score_0.6_norm,HR_Score_0.65_norm,LR_Score_0.65_norm,HR_Score_0.7_norm,LR_Score_0.7_norm,HR_Score_0.75_norm,LR_Score_0.75_norm
-0.19674753,0.083936796,-0.057654448,0.9999999,MIDRC-RICORD-1C-419639-000484-56426-0.png,0.7046042,2.9942513,0.5084745761850044,0.4772727271642561,0.4444444442798353,0.4347826085066162,0.3888888886728395,0.5454545449586776,0.3076923074556212,0.4999999993749999,0.3999999996,0.5999999988,0.3999999992,0.5999999988,0.3999999992,0.3333333322222222,0.2727272726033057,0.4999999994999999,0.3076923074556212,0.4285714279591837,0.2999999996999999,0.3333333327777777,0.2857142853061225,0.3999999992,0.3333333327777777,0.49999999875,0.49999999875,0.49999999875,0.49999999875,0.3333333322222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736842099030471,0.4482758612960761,0.409090908161157,0.3939393927456382,0.5161290305931321,0.4999999979166666,0.5217391281663516,0.5294117615916955,0.5714285673469388,0.6999999930000002,0.6999999930000002,0.6666666555555557,0.7999999840000003,0.6666666444444452
-0.3096248,-0.13402557,-0.21406022,0.99999994,COVID-2009.png,0.7901958,2.2328029,0.19393939392764,0.3028571428398367,0.074999999990625,0.2068965517003567,0.059999999988,0.1562499999755859,0.0810810810591672,0.1458333333029514,0.0384615384467455,0.1621621621183345,0.0476190475963718,0.159999999936,0.0,0.1666666665277777,0.1489361701810774,0.1395348836884802,0.1428571428061224,0.1052631578393351,0.071428571377551,0.142857142755102,0.0909090908264462,0.0,0.1666666663888888,0.0,0.1666666663888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857141224489,0.0833333332175926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.038746137,0.00024571706,0.1140465,1.0000002,COVID-3168.png,0.78409404,2.8699946,0.4210526313573407,0.24999999984375,0.4444444439506172,0.1818181816528925,0.4999999991666666,0.2222222219753086,0.4999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333322222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740740737997256,0.0769230766272189,0.0869565213610586,0.0555555552469135,0.0624999996093749,0.0714285709183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523809520219199,0.435897435524874,0.4320987648986435,0.4210526310249308,0.3943661966276532,0.3593749994384766,0.3448275856123662,0.3269230762943786,0.3333333326388888,0.2857142850340136,0.2857142850340136,0.2499999993055555,0.2647058815743944,0.1923076915680473
-0.16551504,-0.057531804,0.09507414,1.0,COVID-3447.png,0.7846695,2.7037308,0.1090909090710743,0.2093023255570578,0.0909090908815427,0.1489361701810774,0.079999999968,0.1176470587889273,0.049999999975,0.0999999999666666,0.071428571377551,0.079999999968,0.0,0.0909090908677685,0.0,0.0624999999609375,0.0294117646972318,0.153846153816568,0.0,0.12499999996875,0.0,0.1249999999609375,0.0,0.1071428571045918,0.0,0.079999999968,0.0,0.0526315789196675,0.0,0.0,0.0217391303875236,0.0212765956994114,0.0,0.0476190473922902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333328888889,0.3793103443915973,0.3255813945916712,0.3478260862003781,0.2352941169550172,0.3055555547067901,0.2592592582990398,0.2666666657777777,0.2083333324652777,0.1818181809917355,0.1111111104938271,0.1666666657407407,0.1666666652777778,0.1666666652777778
0.30709407,0.01024892,-0.08105385,0.99999994,COVID-2928.png,0.81104386,2.5838025,0.3124999999348958,0.4166666665509259,0.1363636363016528,0.549999999725,0.124999999921875,0.4545454541322313,0.071428571377551,0.3999999992,0.0,0.4999999975,0.0,0.0,0.0,0.0,0.4444444441975308,0.5999999993999999,0.3636363633057851,0.6666666644444444,0.3999999996,0.6666666644444444,0.3333333329629629,0.6666666644444444,0.4285714279591837,0.6666666644444444,0.4999999991666666,0.6666666644444444,0.5999999988,0.4999999975,0.1643835614186526,0.1599999997866666,0.1578947365650969,0.1176470585928489,0.1136363633780991,0.0952380950113378,0.1025641023011176,0.081081080861943,0.0909090906336088,0.0882352938581314,0.0714285711734693,0.0384615383136094,0.0,0.0,0.3846153816568047,0.3846153816568047,0.2857142816326531,0.249999996875,0.1666666638888889,0.1666666638888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06646951,0.06428572,0.002321192,1.0000001,tpmd200203f2-b.png,0.8691702,1.468718,0.2432432431775018,0.4999999998214285,0.2941176468858131,0.5454545449586776,0.3333333329629629,0.4999999991666666,0.249999999375,0.49999999875,0.4999999975,0.49999999875,0.4999999975,0.49999999875,0.9999999900000002,0.3333333322222222,0.3333333327777777,0.4999999991666666,0.3333333322222222,0.3333333322222222,0.9999999900000002,0.3333333322222222,0.9999999900000002,0.3333333322222222,0.9999999900000002,0.3333333322222222,0.9999999900000002,0.4999999975,0.9999999900000002,0.0,0.6867469871244013,0.6551724130400317,0.7837837816654493,0.7777777760493827,0.7307692279585799,0.7741935458896982,0.8095238056689342,0.7999999959999999,0.7999999946666667,0.7647058778546713,0.8181818107438018,0.74999999375,0.8333333194444447,0.7142857040816327,0.1379310340071343,0.1111111106995884,0.0769230763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35658097,-0.049106,0.24630497,1.0000001,COVID-1933.png,0.81379783,2.857128,0.5767634854532463,0.551724137867618,0.5925925925377229,0.4193548385744016,0.5974025973250127,0.380952380770975,0.5925925924828532,0.3571428568877551,0.5945945944338933,0.3333333327777777,0.519999999792,0.3999999992,0.3888888886728395,0.3333333322222222,0.9999999966666668,0.9999999975,0.999999995,0.9999999900000002,0.999999995,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4057971008611636,0.4399999994133333,0.3265306115785089,0.3653846146819526,0.3170731699583581,0.357142856292517,0.3124999990234375,0.3235294108131488,0.27999999888,0.2592592582990398,0.34999999825,0.2592592582990398,0.2666666648888889,0.3529411743944636
-0.16034801,-0.07155978,-0.08156952,1.0,COVID-1629.png,0.76180124,2.3003745,0.2903225805515088,0.4320987653787532,0.2352941175086505,0.530612244789671,0.2499999997916666,0.4999999998611111,0.1428571426530612,0.4545454544077135,0.249999999375,0.5416666664409722,0.0,0.6470588231487889,0.0,0.624999999609375,0.1999999998,0.5652173911814745,0.0,0.6206896549583829,0.0,0.6249999997395833,0.0,0.631578947036011,0.0,0.6666666662222221,0.0,0.666666666111111,0.0,0.6999999992999999,0.15999999936,0.2307692298816568,0.2666666648888889,0.2666666648888889,0.2857142836734694,0.2857142836734694,0.3076923053254438,0.2727272702479339,0.1249999984375,0.2222222197530864,0.199999996,0.1666666638888889,0.0,0.0,0.2439024384295062,0.3469387748021658,0.1428571423469387,0.1515151510560146,0.1666666657407407,0.1785714279336734,0.1818181801652892,0.190476189569161,0.249999996875,0.1666666652777778,0.0,0.1249999984375,0.0,0.1428571408163265
0.21930994,-0.007969318,-0.021300808,1.0000001,MIDRC-RICORD-1C-419639-001647-89457-1.png,0.85530347,3.043279,0.6349206348198538,0.59999999976,0.6206896549583829,0.5999999993999999,0.5833333330902778,0.7499999990624999,0.5882352937716263,0.49999999875,0.6666666659259258,0.9999999900000002,0.6666666655555555,0.9999999900000002,0.7499999981250001,0.9999999900000002,0.5555555553497942,0.5454545449586776,0.5384615380473372,0.49999999875,0.5833333328472222,0.6666666644444444,0.5555555549382716,0.6666666644444444,0.4999999991666666,0.6666666644444444,0.249999999375,0.9999999900000002,0.249999999375,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999920000001,0.62499999609375,0.3333333222222226,0.4999999916666668,0.0,0.4999999875000003,0.0,0.4999999875000003,0.0,0.3333333222222226,0.0,0.0,0.0,0.0
-0.22011648,-0.111457534,0.12656705,1.0000001,COVID-1667.png,0.7819519,2.0160615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0882352938581314,0.0909090906336088,0.0526315786703601,0.1052631573407202,0.0624999996093749,0.0624999996093749,0.0714285709183673,0.0714285709183673,0.0833333326388889,0.0909090900826446,0.0909090900826446,0.099999999,0.1111111098765432,0.1428571408163265,0.0923076921656804,0.0357142856505102,0.0263157894044321,0.0,0.0357142855867346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
