rho_15_5,rho_15_6,rho_15_14,rho_15_15,image_name,cosine_sim,sal_diff_norm,SmoothHR_Score_0.4,SmoothLR_Score_0.4,SmoothHR_Score_0.5,SmoothLR_Score_0.5,SmoothHR_Score_0.55,SmoothLR_Score_0.55,SmoothHR_Score_0.6,SmoothLR_Score_0.6,SmoothHR_Score_0.65,SmoothLR_Score_0.65,SmoothHR_Score_0.7,SmoothLR_Score_0.7,SmoothHR_Score_0.75,SmoothLR_Score_0.75,SmoothSqHR_Score_0.4,SmoothSqLR_Score_0.4,SmoothSqHR_Score_0.5,SmoothSqLR_Score_0.5,SmoothSqHR_Score_0.55,SmoothSqLR_Score_0.55,SmoothSqHR_Score_0.6,SmoothSqLR_Score_0.6,SmoothSqHR_Score_0.65,SmoothSqLR_Score_0.65,SmoothSqHR_Score_0.7,SmoothSqLR_Score_0.7,SmoothSqHR_Score_0.75,SmoothSqLR_Score_0.75,Unnamed: 0_grad,HR_Score_0.4_grad,LR_Score_0.4_grad,HR_Score_0.5_grad,LR_Score_0.5_grad,HR_Score_0.55_grad,LR_Score_0.55_grad,HR_Score_0.6_grad,LR_Score_0.6_grad,HR_Score_0.65_grad,LR_Score_0.65_grad,HR_Score_0.7_grad,LR_Score_0.7_grad,HR_Score_0.75_grad,LR_Score_0.75_grad,Unnamed: 0_norm,HR_Score_0.4_norm,LR_Score_0.4_norm,HR_Score_0.5_norm,LR_Score_0.5_norm,HR_Score_0.55_norm,LR_Score_0.55_norm,HR_Score_0.6_norm,LR_Score_0.6_norm,HR_Score_0.65_norm,LR_Score_0.65_norm,HR_Score_0.7_norm,LR_Score_0.7_norm,HR_Score_0.75_norm,LR_Score_0.75_norm
0.014618263,0.00051172933,-0.10639293,1.0,MIDRC-RICORD-1C-419639-000484-56426-0.png,-0.15014097,49.575863,0.28110599077045595,0.3873873873524876,0.31182795695571747,0.40384615376849115,0.33333333327777775,0.38235294106401385,0.34210526306786704,0.319999999872,0.34615384602071003,0.3157894735180055,0.34999999982499996,0.30769230745562126,0.3846153843195266,0.1999999998,0.29032258059833504,0.27499999993125,0.24999999993055555,0.23076923068047336,0.2962962961865569,0.149999999925,0.3684210524376731,0.1874999998828125,0.41666666631944443,0.21428571413265304,0.3636363633057851,0.2222222219753086,0.3999999996,0.2222222219753086.1,0,0.2847790506898889,0.9999999954545454,0.4094827584441884,0.9999999928571428,0.4506172836724584,0.9999999916666668,0.435897435524874,0.9999999909090912,0.4545454539551358,0.9999999833333336,0.4081632644731361,0.9999999800000005,0.3043478247637051,0.9999999750000006,0,0.9999999500000026,0.1410256409352399,0.99999990000001,0.108108107815924,0.99999990000001,0.0,0.99999990000001,0.0,0.99999990000001,0.0,0.99999990000001,0.0,0.99999990000001,0.0
0.14731722,-0.20134714,0.033058584,1.0000001,COVID-2009.png,0.25694498,52.347336,0.5214723926060446,0.5814814814707133,0.5468749999145508,0.6470588234948097,0.5909090907747934,0.6341463414118581,0.519999999792,0.5616438355395009,0.5555555552469136,0.6046511626500811,0.3333333329629629,0.6129032256087409,0.4999999991666666,0.6086956519092628,0.4117647057612457,0.5749999998562499,0.3333333331746032,0.549999999725,0.4166666663194444,0.5624999996484374,0.3999999996,0.5999999993999999,0.4285714279591837,0.7142857132653061,0.4285714279591837,0.7999999984,0.4285714279591837,0.9999999966666668,1,0.999999995,0.9999999952380952,0.9999999928571428,0.9999999933333334,0.9999999916666668,0.9999999928571428,0.9999999900000002,0.9999999888888892,0.9999999857142858,0.9999999857142858,0.9999999857142858,0.9999999833333336,0.9999999833333336,0.9999999800000005,1,0.3474025972898043,0.4458128077719672,0.2526881719071569,0.418181818029752,0.2482269501785624,0.4101382486589224,0.2745098036524414,0.4090909088584711,0.23999999968,0.4307692304378698,0.2641509428978284,0.4444444439506173,0.3225806441207076,0.4166666659722222
-0.046906948,-0.004044237,-0.03726111,1.0,COVID-3168.png,-0.3774328,99.89479,0.6543209876139308,0.2231404958493272,0.7666666665388889,0.2571428570693878,0.7368421050692521,0.2727272726033057,0.7692307689349113,0.2727272724793388,0.8333333328703704,0.7499999981250001,0.7999999992,0.999999995,0.9999999975,0.999999995,0.8235294112802768,0.5454545449586776,0.7999999992,0.7999999984,0.8571428559183674,0.9999999966666668,0.999999998,0.999999995,0.9999999975,0.999999995,0.9999999966666668,0.999999995,0.9999999966666668,0.999999995,2,0.935483867950052,0.6496815282486105,0.9999999954545454,0.5967741925858481,0.99999999375,0.5714285697959184,0.9999999900000002,0.6315789440443214,0.9999999857142858,0.5833333284722223,0.9999999833333336,0.7499999812500004,0.9999999800000005,0.7499999812500004,2,0.7218543041577125,0.9999999933333334,0.8333333317901235,0.9999999909090912,0.8421052609418282,0.9999999875000002,0.9230769195266272,0.9999999833333336,0.9411764650519032,0.9999999833333336,0.9999999928571428,0.9999999750000006,0.9999999909090912,0.9999999666666678
-0.04470195,0.025118522,-0.06858712,1.0,COVID-3447.png,0.3615886,48.922657,0.1333333333206349,0.1789473684022161,0.1162790697404002,0.0967741935171696,0.1034482758263971,0.166666666574074,0.1333333332444444,0.1818181816528925,0.0999999999,0.0,0.0,0.0,0.0,0.0,0.0909090908677685,0.24999999984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5693430652778518,0.5769230766765286,0.6842105251154201,0.5982142851801658,0.6749999983125,0.6117647051626298,0.63999999744,0.6666666655555555,0.6470588197231834,0.6111111094135803,0.6666666611111112,0.5833333309027777,0.7142857040816327,0.6153846106508877,3,0.1111111098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.089576304,0.24099651,-0.035894025,0.99999994,COVID-2928.png,0.32759953,66.065155,0.3333333333169934,0.1599999999786666,0.2739726027021955,0.1333333332888888,0.1914893616613852,0.1176470587543252,0.2692307691272189,0.0,0.2666666664888888,0.0,0.3749999995312499,0.0,0.2857142853061225,0.0,0.2765957446220009,0.0,0.29999999985,0.0,0.214285714132653,0.0,0.1818181816528925,0.0,0.1999999996,0.0,0.249999999375,0.0,0.249999999375,0.0,4,0.6138828632074006,0.693208430751005,0.6951219509369423,0.6682692304479475,0.6833333329537037,0.663716813571932,0.7181818175289256,0.6216216207815924,0.7761194018266875,0.5882352929642445,0.8157894715373961,0.4827586190249702,0.8333333298611111,0.437499997265625,4,0.6451612882414152,0.8999999910000002,0.7083333303819445,0.9999999800000005,0.7083333303819445,0.9999999800000005,0.6999999965,0.99999990000001,0.7499999953125,0.99999990000001,0.6666666611111112,0.99999990000001,0.7777777691358027,0.99999990000001
0.018311152,-0.06342394,0.2003767,1.0000001,tpmd200203f2-b.png,0.1791464,9.134173,0.2056737588506614,0.0063492063490047,0.2499999999609375,0.0,0.2195121950684116,0.0,0.3181818180371901,0.0,0.2727272724793388,0.0,0.3749999995312499,0.0,0.49999999875,0.0,0.2580645160457856,0.0,0.24999999984375,0.0,0.2999999996999999,0.0,0.2499999996874999,0.0,0.249999999375,0.0,0.3333333322222222,0.0,0.0,0.0,5,0.4204545453589876,0.2530487804106558,0.4297188753294302,0.1484374998840332,0.4136125652284751,0.1505376342467337,0.4117647055795848,0.1612903223204994,0.4772727267303719,0.1315789470221606,0.5172413784185493,0.0999999994999999,0.599999998,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.17981482,-0.16809379,-0.09549641,0.99999994,COVID-1933.png,0.3135597,73.13118,0.6753246752369709,0.6666666666124662,0.6388888887114197,0.579999999884,0.6249999997395833,0.5675675674141709,0.611111110771605,0.6086956519092628,0.5999999996,0.649999999675,0.666666666111111,0.6874999995703125,0.5555555549382716,0.7777777769135802,0.639999999744,0.72413793078478,0.6470588231487889,0.9285714279081632,0.5999999996,0.923076922366864,0.5555555549382716,0.9090909082644628,0.4285714279591837,0.8999999991,0.4285714279591837,0.99999999875,0.3999999992,0.999999998,6,0.9999999916666668,0.9999999933333334,0.9999999833333336,0.9999999900000002,0.9999999800000005,0.9999999875000002,0.9999999750000006,0.9999999833333336,0.9999999666666678,0.9999999750000006,0.9999999666666678,0.9999999750000006,0.9999999500000026,0.9999999666666678,6,0.7692307688609468,0.7142857141127638,0.8472222210455248,0.7733990143973404,0.9047619026077096,0.7852348988018558,0.9032258035379812,0.8095238087528345,0.94999999525,0.8082191769750423,0.9999999875000002,0.8043478243383743,0.9999999750000006,0.8148148117969821
-0.35240304,0.09110241,0.033929765,1.0000002,COVID-1629.png,-0.3133706,79.77367,0.1612903225732124,0.0446927374276708,0.0277777777739197,0.0348837209261763,0.019999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5230769222721894,0.6666666592592594,0.4838709661810614,0.7499999906250002,0.3999999979999999,0.8571428448979593,0.0,0.9999999833333336,0.0,0.9999999833333336,0.0,0.9999999800000005,0.0,0.9999999750000006,7,0.9999999857142858,0.6016597507876931,0.9999999833333336,0.6086956516446125,0.9999999666666678,0.5903614450718537,0.9999999500000026,0.555555554526749,0.9999999500000026,0.4736842092797784,0.9999999500000026,0.4285714265306122,0.99999990000001,0.4166666631944445
0.011792167,0.028708749,0.024001801,1.0,MIDRC-RICORD-1C-419639-001647-89457-1.png,-0.19258103,39.931965,0.8712871286697382,0.8222222220395061,0.9024390242801904,0.8235294112802768,0.8947368419482917,0.8999999991,0.8285714283346939,0.8749999989062499,0.8260869561625709,0.9999999975,0.7142857132653061,0.999999995,0.7499999981250001,0.9999999900000002,0.8461538459911242,0.8888888879012344,0.8235294112802768,0.9999999975,0.7857142851530612,0.9999999966666668,0.8749999989062499,0.999999995,0.8333333319444445,0.9999999900000002,0.7499999981250001,0.9999999900000002,0.6666666644444444,0.9999999900000002,8,0.9055118103106208,0.9999999944444444,0.8958333314670138,0.9999999916666668,0.9333333302222222,0.9999999909090912,0.947368416066482,0.9999999900000002,0.9999999923076924,0.9999999875000002,0.9999999909090912,0.9999999857142858,0.9999999875000002,0.9999999800000005,8,0.9999999962962962,0.9433962246351014,0.9999999952380952,0.9999999972222222,0.99999999375,0.9999999966666666,0.9999999909090912,0.9999999958333332,0.9999999888888892,0.999999994736842,0.9999999875000002,0.9999999923076924,0.9999999875000002,0.9999999888888892
-0.010535416,-0.026021391,-0.05822671,1.0,COVID-1667.png,0.35674933,39.904705,0.6067415730223457,0.2281879194477726,0.6467661691220514,0.0612244897834235,0.6488549617825301,0.0,0.7164179103408332,0.0,0.6904761903117914,0.0,0.6896551721759809,0.0,0.74999999953125,0.0,0.6846846846230015,0.0,0.6842105261957525,0.0,0.6923076921301775,0.0,0.7916666663368055,0.0,0.7999999994666667,0.0,0.9999999985714286,0.0,0.999999998,0.0,9,0.9999999666666678,0.99999990000001,0.9999999666666678,0.99999990000001,0.9999999666666678,0.99999990000001,0.9999999666666678,0.99999990000001,0.9999999500000026,0.99999990000001,0.9999999500000026,0.99999990000001,0.9999999500000026,0.99999990000001,9,0.4804687498123168,0.3691683569230896,0.5999999995,0.3506944443226755,0.6142857134081633,0.3383084575431301,0.6521739116257089,0.2666666664691358,0.7083333303819445,0.2352941173702422,0.9333333271111112,0.2156862740868896,0.8999999910000002,0.2499999991071428
