rho_15_4,rho_15_6,rho_15_14,rho_15_15,image_name,cosine_sim,sal_diff_norm,SmoothHR_Score_0.4,SmoothLR_Score_0.4,SmoothHR_Score_0.5,SmoothLR_Score_0.5,SmoothHR_Score_0.55,SmoothLR_Score_0.55,SmoothHR_Score_0.6,SmoothLR_Score_0.6,SmoothHR_Score_0.65,SmoothLR_Score_0.65,SmoothHR_Score_0.7,SmoothLR_Score_0.7,SmoothHR_Score_0.75,SmoothLR_Score_0.75,SmoothSqHR_Score_0.4,SmoothSqLR_Score_0.4,SmoothSqHR_Score_0.5,SmoothSqLR_Score_0.5,SmoothSqHR_Score_0.55,SmoothSqLR_Score_0.55,SmoothSqHR_Score_0.6,SmoothSqLR_Score_0.6,SmoothSqHR_Score_0.65,SmoothSqLR_Score_0.65,SmoothSqHR_Score_0.7,SmoothSqLR_Score_0.7,SmoothSqHR_Score_0.75,SmoothSqLR_Score_0.75,Unnamed: 0_grad,HR_Score_0.4_grad,LR_Score_0.4_grad,HR_Score_0.5_grad,LR_Score_0.5_grad,HR_Score_0.55_grad,LR_Score_0.55_grad,HR_Score_0.6_grad,LR_Score_0.6_grad,HR_Score_0.65_grad,LR_Score_0.65_grad,HR_Score_0.7_grad,LR_Score_0.7_grad,HR_Score_0.75_grad,LR_Score_0.75_grad,Unnamed: 0_norm,HR_Score_0.4_norm,LR_Score_0.4_norm,HR_Score_0.5_norm,LR_Score_0.5_norm,HR_Score_0.55_norm,LR_Score_0.55_norm,HR_Score_0.6_norm,LR_Score_0.6_norm,HR_Score_0.65_norm,LR_Score_0.65_norm,HR_Score_0.7_norm,LR_Score_0.7_norm,HR_Score_0.75_norm,LR_Score_0.75_norm
-0.12303292,-0.34849486,-0.118002035,0.9999999,MIDRC-RICORD-1C-419639-000484-56426-0.png,0.1530885,60.908543,0.004975124377861934,0.45222929934865513,0.0,0.46212121208620294,0.0.1,0.4767441859910763,0.0.2,0.4918032786079011,0.0.3,0.4999999998809524,0.0.4,0.59999999976,0.0.5,0.6666666662962962,0.0.6,0.4666666666148149,0.0.7,0.5319148935038479,0.0.8,0.6153846152268244,0.0.9,0.6666666663888888,0.0.10,0.7142857137755102,0.0.11,0.6999999992999999,0.0.12,0.6249999992187499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4952681386450258,0.1860465115197404,0.5030674843539463,0.1444444442839506,0.5784313719819301,0.0952380950113378,0.5441176462586506,0.0,0.4897959173677634,0.0,0.4814814796982167,0.0,0.44999999775,0.0
0.076640025,-0.22100723,-0.13512512,1.0,COVID-2009.png,0.2993126,84.62146,0.3911764705767301,0.392739273914431,0.2763157894555055,0.3949579831600875,0.2745098038946559,0.4246575341884031,0.139999999972,0.4583333332378472,0.09999999995,0.6071428569260204,0.0,0.6666666663888888,0.0,0.8421052627146814,0.1249999999804687,0.5833333332361111,0.049999999975,0.6904761903117914,0.0,0.6999999998249999,0.0,0.7297297295325055,0.0,0.7931034480023781,0.0,0.89999999955,0.0,0.9374999994140624,1,0.0740740739826246,0.1318681317232218,0.1111111108024691,0.0857142854693877,0.0,0.1111111106995884,0.0,0.0869565213610586,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6158940393272225,0.6321243520040807,0.4683544297868932,0.5742574251740026,0.4705882343713956,0.4871794865548981,0.4571428558367347,0.4528301878248487,0.4761904739229025,0.4571428558367347,0.37499999765625,0.3999999979999999,0.2499999979166667,0.4444444395061729
-0.16614613,-0.20347267,-0.24855092,1.0,COVID-3168.png,0.30884647,116.73146,0.2624113475084251,0.2137404580071091,0.2566371681188816,0.17857142855017,0.222222222191358,0.1521739130103969,0.2222222221810699,0.1363636363016528,0.161290322528616,0.1538461537278106,0.1249999999479166,0.3999999992,0.1333333332444444,0.999999995,0.2173913043163201,0.1481481480932784,0.1111111110802469,0.6666666655555555,0.0769230768934911,0.7999999984,0.0454545454338842,0.7499999981250001,0.0526315789196675,0.9999999966666668,0.0,0.999999995,0.0,0.999999995,2,0.8095238082388511,0.7777777765432099,0.9428571401632652,0.8536585345032719,0.9583333293402776,0.9333333302222222,0.947368416066482,0.9565217349716446,0.947368416066482,0.947368416066482,0.9285714219387756,0.9285714219387756,0.9090909008264464,0.916666659027778,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019126887,-0.11593732,-0.086575516,1.0,COVID-3447.png,0.3403067,106.93622,0.0347826086941398,0.1879194630809423,0.0,0.0917431192576382,0.0,0.1093749999829101,0.0,0.0555555555401234,0.0,0.09999999995,0.0,0.1333333332444444,0.0,0.0,0.0,0.0784313725336409,0.0,0.1034482758263971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.999999996,0.9130434742911152,0.9999999916666668,0.9999999923076924,0.9999999875000002,0.9999999888888892,0.9999999833333336,0.9999999833333336,0.9999999800000005,0.9999999800000005,0.9999999750000006,0.9999999750000006,0.9999999666666678,0.9999999750000006,3,0.1063829784970575,0.0454545453856749,0.0555555554012345,0.0238095237528344,0.0357142855867346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.32943535,-0.14397663,-0.120461546,1.0000001,COVID-2928.png,0.35878003,84.78546,0.2957746478456656,0.2226277372181522,0.2068965516527942,0.1083333333243055,0.1904761903854875,0.119999999984,0.0,0.0943396226237095,0.0,0.0555555555401234,0.0,0.0,0.0,0.0,0.0,0.0886075949254927,0.0,0.0243902438964901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2278481009774075,0.2638888885223766,0.222222221728395,0.272727272107438,0.2631578940443213,0.2777777770061728,0.2857142848979592,0.2962962951989026,0.3333333322222222,0.2999999985,0.35999999856,0.214285712755102,0.4117647034602076,0.199999998,4,0.5851063823562699,0.5737704908626713,0.7105263139196676,0.5555555534979424,0.6551724115338882,0.4999999977272727,0.6818181787190083,0.3076923053254438,0.8461538396449705,0.249999996875,0.8749999890625002,0.1428571408163265,0.9999999800000005,0.2499999937500001
0.49615133,0.5127645,0.20846377,0.99999994,tpmd200203f2-b.png,0.6566149,8.940966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.11815342,-0.25749668,-0.26854205,1.0,COVID-1933.png,0.35366076,100.111015,0.3812316715430723,0.4168157423896813,0.4049586776524828,0.4229249011690543,0.4303797467809646,0.4277777777540123,0.4680851062833861,0.3781512604724243,0.4482758619143876,0.3589743589283366,0.374999999765625,0.3207547169206123,0.2499999996874999,0.1999999999333333,0.3333333332905983,0.4240837696113045,0.26315789466759,0.3431372548683199,0.2173913042533081,0.3188405796639362,0.1999999999,0.230769230724852,0.1538461537278106,0.1944444443904321,0.1666666663888888,0.1538461537869822,0.249999999375,0.1176470587543252,6,0.587499999265625,0.6756756747626005,0.51999999896,0.7999999982222222,0.6249999984375,0.9565217349716446,0.6956521708884688,0.9999999933333334,0.6874999957031249,0.9999999916666668,0.5555555493827161,0.9999999875000002,0.9999999666666678,0.9999999666666678,6,0.4693877541441066,0.2777777762345679,0.4583333314236111,0.1111111098765432,0.4999999968749999,0.0,0.4166666631944445,0.0,0.4999999937500001,0.0,0.4999999937500001,0.0,0.3999999920000001,0.0
0.013540856,-0.012379815,-0.16785787,0.99999994,COVID-1629.png,0.33391663,77.555725,0.1669829221979699,0.0505050505033499,0.160377358483001,0.016393442621607,0.150793650781683,0.0111111111098765,0.1309523809367914,0.0,0.1212121211937557,0.0,0.1111111110864197,0.0,0.0714285714030612,0.0,0.095238095222978,0.0,0.0624999999804687,0.0,0.0555555555246913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.3725490188773548,0.2777777770061728,0.4999999979166666,0.2499999984374999,0.3333333311111111,0.2499999979166667,0.4166666631944445,0.199999998,0.4285714224489796,0.1249999984375,0.3333333277777778,0.0,0.4999999875000003,0.0,7,0.7611940287146358,0.6515151505280075,0.8461538439842209,0.7272727250688705,0.9999999961538462,0.7499999973214285,0.999999995652174,0.8571428530612245,0.9999999923076924,0.9999999923076924,0.9999999900000002,0.9999999916666668,0.9999999857142858,0.9999999909090912
-0.07442736,-0.2178058,-0.149376,1.0,MIDRC-RICORD-1C-419639-001647-89457-1.png,0.3383661,44.42473,0.4482758619916765,0.1710526315564404,0.2173913042533081,0.12499999996875,0.0769230768639053,0.0769230768934911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.6029411755839101,0.8166666653055555,0.5277777763117284,0.8636363616735537,0.4838709661810614,0.909090906336088,0.2857142843537414,0.9615384578402366,0.1333333324444444,0.9999999941176472,0.0,0.9999999933333334,0.0,0.9999999857142858,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2594606,0.23741573,0.36148143,1.0,COVID-1667.png,0.2895927,94.84743,0.2803468208051973,0.6024096385179271,0.2591362126159755,0.6923076921745562,0.229268292671743,0.8076923073816568,0.2127659574317187,0.8666666660888889,0.2235294117384083,0.99999999875,0.2363636363206611,0.999999998,0.2222222221604938,0.9999999966666668,0.1999999999897435,0.999999999473684,0.1941747572627015,0.9999999988888888,0.2168674698533894,0.9999999983333332,0.1967213114431604,0.999999998,0.1914893616613852,0.999999998,0.2413793102615933,0.9999999975,0.2727272726033057,0.9999999966666668,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
