rho_15_6,rho_15_14,rho_15_15,image_name,cosine_sim,sal_diff_norm,SmoothHR_Score_0.4,SmoothLR_Score_0.4,SmoothHR_Score_0.5,SmoothLR_Score_0.5,SmoothHR_Score_0.55,SmoothLR_Score_0.55,SmoothHR_Score_0.6,SmoothLR_Score_0.6,SmoothHR_Score_0.65,SmoothLR_Score_0.65,SmoothHR_Score_0.7,SmoothLR_Score_0.7,SmoothHR_Score_0.75,SmoothLR_Score_0.75,SmoothSqHR_Score_0.4,SmoothSqLR_Score_0.4,SmoothSqHR_Score_0.5,SmoothSqLR_Score_0.5,SmoothSqHR_Score_0.55,SmoothSqLR_Score_0.55,SmoothSqHR_Score_0.6,SmoothSqLR_Score_0.6,SmoothSqHR_Score_0.65,SmoothSqLR_Score_0.65,SmoothSqHR_Score_0.7,SmoothSqLR_Score_0.7,SmoothSqHR_Score_0.75,SmoothSqLR_Score_0.75,Unnamed: 0_grad,HR_Score_0.4_grad,LR_Score_0.4_grad,HR_Score_0.5_grad,LR_Score_0.5_grad,HR_Score_0.55_grad,LR_Score_0.55_grad,HR_Score_0.6_grad,LR_Score_0.6_grad,HR_Score_0.65_grad,LR_Score_0.65_grad,HR_Score_0.7_grad,LR_Score_0.7_grad,HR_Score_0.75_grad,LR_Score_0.75_grad,Unnamed: 0_norm,HR_Score_0.4_norm,LR_Score_0.4_norm,HR_Score_0.5_norm,LR_Score_0.5_norm,HR_Score_0.55_norm,LR_Score_0.55_norm,HR_Score_0.6_norm,LR_Score_0.6_norm,HR_Score_0.65_norm,LR_Score_0.65_norm,HR_Score_0.7_norm,LR_Score_0.7_norm,HR_Score_0.75_norm,LR_Score_0.75_norm
0.10421433,-0.07837327,1.0000001,MIDRC-RICORD-1C-419639-000484-56426-0.png,0.24122904,39.187965,0.4827586206480381,0.4636363635942149,0.5172413792211653,0.5909090907747934,0.5609756096192743,0.5333333331555555,0.5483870965972945,0.5238095235600907,0.4999999997727272,0.4999999996428571,0.5882352937716263,0.5999999993999999,0.6666666662222221,0.7499999981250001,0.4516129030801248,0.4583333331423611,0.3913043476559546,0.5384615380473372,0.470588235017301,0.4999999995833333,0.3333333330555555,0.3333333329629629,0.2999999996999999,0.2499999996874999,0.1999999996,0.1666666663888888,0.0,0.0,0,0.178703703687157,0.901408449434636,0.084239130423337,0.9999999967741936,0.0553633217897295,0.999999995,0.0536585365722784,0.9999999933333334,0.2133333330488889,0.9999999916666668,0.3249999991875,0.9999999900000002,0.434782606805293,0.9999999857142858,0,0.4903846149130917,0.35999999928,0.5384615374260355,0.3999999979999999,0.4722222209104938,0.37499999765625,0.4444444427983539,0.4166666631944445,0.4666666635555556,0.4444444395061729,0.5384615343195267,0.4999999937500001,0.5555555493827161,0.5714285632653062
0.17108887,0.03030657,1.0000001,COVID-2009.png,0.53515923,13.749899,0.7692307692103653,0.3831775700755524,0.801282051230687,0.311475409785004,0.8039215685486352,0.268292682861392,0.8243243242129292,0.2413793102615933,0.8510638296061566,0.2222222220987654,0.928571428239796,0.214285714132653,0.9999999995652172,0.1818181816528925,0.9393939391092744,0.139999999972,0.999999999375,0.1111111110699588,0.999999999090909,0.1363636363016528,0.99999999875,0.142857142755102,0.999999998,0.1818181816528925,0.9999999966666668,0.1999999998,0.999999995,0.1428571426530612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2640518,0.37920442,0.99999994,COVID-3168.png,0.49717432,29.185835,0.6358024690965554,0.6076388888677903,0.5156249999194337,0.6106194689725116,0.4883720929096809,0.6075949366319501,0.479999999808,0.6122448978342357,0.4999999995833333,0.5714285712244898,0.4999999991666666,0.6666666662222221,0.5999999988,0.666666666111111,0.8571428567346938,0.5172413791319858,0.9285714279081632,0.5384615380473372,0.9999999991666666,0.5555555549382716,0.999999999,0.571428570612245,0.99999999875,0.7499999981250001,0.9999999985714286,0.9999999966666668,0.9999999985714286,0.9999999966666668,2,0.6280991730346288,0.6126760559065662,0.693333332408889,0.6385542160981275,0.6666666654320987,0.6101694904912381,0.6578947351108033,0.6222222208395062,0.6896551700356718,0.6666666648148148,0.63999999744,0.6923076896449704,0.6470588197231834,0.666666662962963,2,0.0467289719189448,0.0560747663027338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050776757,-0.1383742,1.0,COVID-3447.png,0.55413616,23.374926,0.2889447236108305,0.3917274939077438,0.1666666666570881,0.3657142856933877,0.1344537815013064,0.3416666666381944,0.107142857130102,0.30769230765286,0.0943396226237095,0.3018867923958704,0.0833333333101851,0.371428571322449,0.0769230768934911,0.3333333331746032,0.1705426356456943,0.9999999983333332,0.1384615384402367,0.999999995,0.1363636363326446,0.999999995,0.178571428507653,0.999999995,0.2222222220987654,0.999999995,0.1818181816528925,0.999999995,0.2222222219753086,0.999999995,3,0.8918918906866327,0.9090909077134988,0.9999999972972972,0.9999999972222222,0.9999999962962962,0.9999999966666666,0.9999999952380952,0.999999995,0.9999999933333334,0.9999999928571428,0.9999999875000002,0.9999999857142858,0.9999999800000005,0.9999999857142858,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.07500699,0.11584173,0.9999999,COVID-2928.png,0.5445492,16.513102,0.3907284767953159,0.3084112149244475,0.3859649122129886,0.210526315734072,0.352941176366782,0.0,0.279999999888,0.0,0.071428571377551,0.0,0.0,0.0,0.0,0.0,0.380952380770975,0.214285714132653,0.3999999996,0.2222222219753086,0.3749999995312499,0.2499999996874999,0.3999999992,0.1999999996,0.6666666644444444,0.0,0.6666666644444444,0.0,0.6666666644444444,0.0,4,0.4322580642372529,0.4260355027064879,0.4673913038397921,0.4563106791686304,0.450704224717318,0.4197530859015394,0.4186046501892915,0.4107142849808673,0.4838709661810614,0.4054054043097151,0.6190476160997732,0.3461538448224852,0.7999999920000002,0.4666666635555556,4,0.5044247783146684,0.419642856768176,0.560975609071981,0.4999999992857143,0.5633802808966475,0.515624999194336,0.4999999991666666,0.4680851053870529,0.499999999,0.4444444434567901,0.4883720918875067,0.4166666655092592,0.4594594582176771,0.434782606805293
0.52380615,-0.2675972,1.0000001,tpmd200203f2-b.png,0.53413194,9.883706,0.0479452054761681,0.0187499999988281,0.0322580645109261,0.0131578947351108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325581394808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7215568861195274,0.6801181101692797,0.8141891889141252,0.7373737372496004,0.877094971577042,0.7892271660915159,0.894736841163435,0.8417508414674238,0.9629629611796982,0.9064039404401952,0.9999999962962962,0.9253731336377812,0.9999999933333334,0.9318181807592976,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36998075,0.40707222,1.0,COVID-1933.png,0.5339884,21.347975,0.9340659339632896,0.8739726027157816,0.9999999997674418,0.9318181817652376,0.9999999996551724,0.9516129031490635,0.9999999994117648,0.9659090907993286,0.9999999992857144,0.9666666665055555,0.9999999988888888,0.9999999997560975,0.9999999985714286,0.9999999996296296,0.9999999995454544,0.9999999994444444,0.9999999991666666,0.9999999991666666,0.999999999,0.99999999875,0.9999999985714286,0.9999999985714286,0.999999998,0.999999998,0.9999999975,0.999999998,0.9999999975,0.999999998,6,0.5585585583069557,0.5851063826674966,0.5746268652428158,0.5585585580553527,0.5490196073048828,0.5443037967793624,0.5205479444924002,0.5740740730109739,0.51999999896,0.5588235277681661,0.5312499983398438,0.6470588197231834,0.562499996484375,0.6153846106508877,6,0.0967741933922996,0.1807228913485266,0.0555555554012345,0.1379310342449465,0.0,0.0980392154940407,0.0,0.1025641023011176,0.0,0.107142856760204,0.0,0.0,0.0,0.0
0.12959516,-0.04170039,1.0000001,COVID-1629.png,-0.5701674,27.493742,0.5337423312555986,0.4999999998076923,0.7166666665472222,0.4615384611834319,0.7741935481373569,0.3636363633057851,0.8461538458284024,0.3333333329629629,0.913043477863894,0.4285714279591837,0.9047619043310656,0.3333333327777777,0.999999999375,0.3333333327777777,0.744680850905387,0.2727272724793388,0.7999999997333334,0.1999999998,0.8461538458284024,0.2222222219753086,0.8888888883950616,0.1666666663888888,0.8666666660888889,0.249999999375,0.9090909082644628,0.249999999375,0.8571428559183674,0.0,7,0.4430379744031405,0.4615384612157074,0.4942528729951116,0.4999999993902439,0.4285714279591837,0.4705882346020761,0.4035087712219144,0.4629629621056241,0.4130434773629489,0.4358974347797502,0.4594594582176771,0.4687499985351562,0.5172413775267538,0.4782608674858223,7,0.0821917807093263,0.1325301203222528,0.0666666665555555,0.079365079239103,0.0363636362975206,0.0517241378418549,0.0212765956994114,0.0192307691937869,0.0,0.0,0.0,0.0,0.0,0.0
-0.17230792,-0.39453015,1.0,MIDRC-RICORD-1C-419639-001647-89457-1.png,0.5670241,26.040043,0.8863636362629133,0.9583333332534724,0.9999999997560975,0.999999999827586,0.9999999996,0.9999999997777778,0.9999999992857144,0.9999999996774194,0.999999999090909,0.9999999996153844,0.999999998,0.9999999995,0.999999998,0.999999999,0.9999999995652172,0.9999999998039216,0.9999999992857144,0.9999999996296296,0.999999999090909,0.9999999995833332,0.99999999875,0.9999999995238096,0.9999999985714286,0.9999999994444444,0.999999998,0.9999999993333332,0.9999999966666668,0.9999999991666666,8,0.7631578940674054,0.7762237756809625,0.7681159409157741,0.7857142849125365,0.8113207531861872,0.7948717938527285,0.8205128184089414,0.8196721298038162,0.9032258035379812,0.8124999983072917,0.91999999632,0.8571428546938775,0.99999999375,0.9655172380499404,8,0.7510548520037743,0.7721518982454735,0.7364864859888605,0.7222222214197531,0.7009345787841733,0.7101449265070364,0.6309523802012472,0.6666666654320987,0.5737704908626713,0.605263156301939,0.5227272715392561,0.5833333309027777,0.374999998828125,0.5789473653739612
-0.07437259,-0.16777831,0.99999994,COVID-1667.png,0.55119956,13.925637,0.6874999999761284,0.8404669260373359,0.7874015747411495,0.8859649122029856,0.8051948050902346,0.896103895987519,0.8780487802736466,0.9090909089256198,0.8461538458284024,0.8857142854612244,0.7999999994666667,0.909090908677686,0.8181818174380164,0.9333333327111112,0.99999999875,0.9152542371330078,0.9999999966666668,0.959999999616,0.9999999966666668,0.9523809519274375,0.9999999966666668,0.999999999375,0.999999995,0.9999999988888888,0.999999995,0.9999999985714286,0.999999995,0.9999999985714286,9,0.3999999995789474,0.4457831319930324,0.4615384606508875,0.4999999989130435,0.4999999986842105,0.5555555534979424,0.55999999776,0.599999997,0.666666662962963,0.7999999946666667,0.7857142801020409,0.833333326388889,0.833333326388889,0.8749999890625002,9,0.3539823005716971,0.3333333330555555,0.285714285400314,0.2499999997282609,0.2307692304733728,0.2235294115017301,0.1791044773446202,0.1866666664177778,0.1639344259607632,0.1076923075266272,0.11999999976,0.0701754384733764,0.1190476187641723,0.0227272726756198
